Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2UYHP0RQqPFvue0Ygs5Amm,"Keep On Lying","Lonerism","Tame Impala",2012-01-01,353933,54,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Modular",0.485,0.814,0,-4.894,0,0.0356,0.0783,0.0128,0.273,0.658,123.997,4
spotify:track:7Jk2pg4g0c5rz5AfkEGMRp,"Sun's Coming Up","Lonerism","Tame Impala",2012-01-01,320293,45,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Modular",0.286,0.806,7,-7.056,0,0.0937,0.956,0.0764,0.615,0.328,123.858,3
spotify:track:33JMMgxQKL3zJsZeMNC3gR,"Nothing That Has Happened So Far Has Been Anything We Could Control","Lonerism","Tame Impala",2012-01-01,359946,50,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Modular",0.348,0.864,3,-3.564,1,0.0421,0.0444,0.483,0.0873,0.359,99.851,4
spotify:track:1FnHpM2zimTALdIvuxFoNM,"Expectation","InnerSpeaker","Tame Impala",2010-05-21,362466,51,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.447,0.836,5,-5.137,1,0.0584,0.0209,0.00399,0.0736,0.177,139.94,3
spotify:track:0j0majKoNlF7GkwA8xNQHG,"I Don't Really Mind","InnerSpeaker","Tame Impala",2010-05-21,227546,48,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.464,0.831,6,-6.006,1,0.0724,0.599,0.0203,0.131,0.268,137.059,4
spotify:track:2a2MbiJN2skOxohykOVcss,"Solitude Is Bliss","InnerSpeaker","Tame Impala",2010-05-21,235866,59,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.588,0.849,4,-5.027,0,0.0596,0.00811,0.000161,0.131,0.629,104.012,4
spotify:track:3Yub3anoLj8w58TVpEXUJv,"It Is Not Meant To Be","InnerSpeaker","Tame Impala",2010-05-21,321533,57,11139125490,2024-08-29T18:24:21Z,"indie,psychedelic pop","Universal Music Australia Pty. Ltd.",0.429,0.895,0,-4.677,1,0.0412,0.0133,0.00127,0.45,0.455,102.062,4
spotify:track:1DozaQDXoSLBba705Qw3TT,"Parti","En Güzel Hikayem","Teoman",2004-05-28,300040,28,11139125490,2024-08-29T18:24:21Z,"anatolian rock,turkish pop","AVRUPA MÜZİK YAPIM",0.495,0.944,9,-2.966,1,0.0617,0.0136,0.00169,0.0712,0.513,179.928,4
spotify:track:0KnF6FcF0scjbBEaQnhZXC,"En Güzel Hikayem","En Güzel Hikayem","Teoman",2004-05-28,632746,32,11139125490,2024-08-29T18:24:21Z,"anatolian rock,turkish pop","AVRUPA MÜZİK YAPIM",0.409,0.44,4,-7.692,0,0.0326,0.532,0.0421,0.14,0.236,83.044,4
spotify:track:6r7iQqtiTnKAxKyXxSl2O0,"Tuzak","En Güzel Hikayem","Teoman",2004-05-28,211680,26,11139125490,2024-08-29T18:24:21Z,"anatolian rock,turkish pop","AVRUPA MÜZİK YAPIM",0.469,0.841,2,-3.602,0,0.0295,0.00107,0.0023,0.0727,0.346,91.995,4
spotify:track:4sUTagdmyuyAxd7RvbygpQ,"aruarian dance","samurai champloo music record departure","Nujabes",2004-06-23,250433,68,11139125490,2024-08-29T18:24:21Z,"jazz rap","Victor",0.585,0.652,6,-8.357,1,0.0358,0.78,0.907,0.0653,0.877,198.448,4
spotify:track:0PZ3gweRmkppfan5JSSjLa,"Değirmenler - Canlı","Çekirdekten","Pinhani,Cihan Mürtezaoğlu",2019-05-31,233500,22,11139125490,2024-08-29T18:24:21Z,"turkish pop,anatolian rock,arabesk","Beğeni Müzik Yapım",0.455,0.304,7,-12.096,0,0.0406,0.726,0,0.369,0.32,123.86,4
spotify:track:4zIeRcsaho6lZuaXEYR1y3,"Easier Said Than Done","Thee Sacred Souls","Thee Sacred Souls",2022-08-26,174706,75,11139125490,2024-08-29T18:24:21Z,"retro soul","Penrose / Daptone Records",0.547,0.399,10,-9.808,1,0.0246,0.668,0.00000281,0.132,0.563,84.127,4
spotify:track:1msXkHv84LKikJGKcfdGBu,"Sure Thing","Tourist (Remastered)","St Germain",2000,380497,61,11139125490,2024-08-29T18:24:21Z,"jazz house,nu jazz,acid jazz,downtempo,lounge","Parlophone (France)",0.772,0.451,0,-12.242,1,0.0551,0.501,0.7,0.213,0.558,96.086,4
spotify:track:6VQDaTTTHeLUhKaHcDe2Bz,"Pasilda","Pasilda","Afro Medusa",1999-01-29,201000,60,11139125490,2024-08-29T18:24:21Z,"latin house,afro house,funky house,disco house,house","Armada Music",0.671,0.741,5,-7.525,0,0.0342,0.0191,0.808,0.272,0.421,127.024,4
spotify:track:1GZJu6ciZ55S8Kp1s8Z5ex,"It Makes You Forget (Itgehane) - Edit","It Makes You Forget (Itgehane)","Peggy Gou",2018-01-23,236160,63,11139125490,2024-08-29T18:24:21Z,"","Ninja Tune",0.794,0.89,0,-9.438,1,0.0431,0.0177,0.468,0.0838,0.77,125.003,4
spotify:track:5H8ZaA6z9uDvBNYEy7NsgR,"Don't Turn It off (Feat. Qzen)","Don't Turn It Off","40 Thieves",2008-04-11,278133,61,11139125490,2024-08-29T18:24:21Z,"nu disco","Permanent Vacation",0.955,0.477,9,-8.381,1,0.145,0.018,0.662,0.0987,0.741,116.997,4
spotify:track:3BucMqBqIR5Aw7MrUkF00y,"Ain't No Way","Soul Queen","Aretha Franklin",2007-10-29,254399,52,11139125490,2024-08-29T18:24:21Z,"soul,motown,jazz blues","Rhino Atlantic",0.388,0.316,3,-9.477,1,0.0297,0.8,0.000381,0.086,0.23,135.461,3
spotify:track:12q3V8ShACq2PSWINMc2rC,"It's Too Late","Tapestry","Carole King",1971,233173,74,11139125490,2024-08-29T18:24:21Z,"singer-songwriter,folk rock","Ode/Epic/Legacy",0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,4
spotify:track:4eHbdreAnSOrDDsFfc4Fpm,"I Will Always Love You","The Bodyguard - Original Soundtrack Album","Whitney Houston",1992-11-17,271093,80,11139125490,2024-08-29T18:24:21Z,"","Arista",0.332,0.214,4,-12.518,1,0.0349,0.845,0.00000562,0.0839,0.11,67.531,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga,Bruno Mars",2024-08-16,251667,99,11139125490,2024-08-29T18:24:21Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:6dnl9jROPQ8JVIENxMTpPv,"Hurt","Coco, Pt. 1","Parov Stelar",2009-08-28,182760,50,11139125490,2024-08-29T18:24:21Z,"electro swing,swing music,nu jazz","Etage Noir Recordings",0.724,0.66,10,-7.806,0,0.0253,0.0102,0.0484,0.0701,0.622,100.018,4
spotify:track:3XQUmLq3TBSotuZd2MKIf0,"Mothership Reconnection - Daft Punk Remix","Mothership Reconnection Remixes","Scott Grooves,Parliament Funkadelic",2011-05-15,439167,0,11139125490,2024-08-29T18:24:21Z,"french house","Soma Records",0.803,0.787,1,-7.229,1,0.414,0.0984,0.492,0.0425,0.737,126.121,4
spotify:track:7bd4OWaHchouynGlBJNBqR,"Get Funky Get Down - Daft Punk Remix","Get Funky Get Down (Daft Punk, J Dubs, Nature & Original Mixes)","The Micronauts,Daft Punk",2017-08-18,352865,0,11139125490,2024-08-29T18:24:21Z,"acid techno,techno,big beat,acid house,electroclash,french house,electronic,electro","Micronautics",0.81,0.58,10,-9.955,0,0.0415,0.0471,0.917,0.108,0.174,136.018,3
spotify:track:6kyklskAm6KPUfdiFivJJl,"Life Is Sweet - Daft Punk Remix","Life Is Sweet","The Chemical Brothers,Daft Punk",1995-01-01,517693,0,11139125490,2024-08-29T18:24:21Z,"big beat,alternative dance,electronic,breakbeat,french house,electro","Virgin Records",0.708,0.613,1,-12.56,1,0.0855,0.000389,0.855,0.165,0.498,124.893,4
spotify:track:2aibwv5hGXSgw7Yru8IYTO,"Snow (Hey Oh)","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,334666,81,11139125490,2024-08-29T18:24:21Z,"funk rock,alternative rock,rock","Warner Records",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
spotify:track:0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,274706,86,11139125490,2024-08-29T18:24:21Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod","Green Day",1997-10-14,153466,83,11139125490,2024-08-29T18:24:21Z,"punk,pop punk","Reprise",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4
spotify:track:3KuAa8Y79xlfJgYtBKbynY,"Don't Go","Upstairs At Eric's","Yazoo",1982,191306,58,11139125490,2024-08-29T18:24:21Z,"synthpop,new wave","Rhino/Warner Records",0.776,0.44,6,-15.887,1,0.0613,0.34,0.00704,0.0508,0.606,125.756,4
spotify:track:3L7RtEcu1Hw3OXrpnthngx,"Don't You Want Me","Dare!","The Human League",1981,236920,81,11139125490,2024-08-29T18:24:21Z,"new wave,synthpop","Virgin Records",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
spotify:track:7HUhMOrlvwBPfBq3c0ajh0,"JOYRIDE","JOYRIDE","Kesha",2024-07-04,150000,10,11139125490,2024-08-29T18:24:21Z,"","Kesha Records",0.788,0.898,10,-4.653,0,0.0592,0.0182,0.000123,0.114,0.496,115.96,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,83,11139125490,2024-08-29T18:24:21Z,"gangster rap,west coast hip hop,g-funk","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:4VgGQi9FZMrNG4MuiONldI,"Kagefumi","Standing Still In A Moving Scene","百景",2006-06-07,294480,60,11139125490,2024-08-29T18:24:21Z,"math rock,japanese indie,midwest emo,post-rock,shoegaze","Human Highway Records",0.345,0.638,2,-8.552,1,0.0427,0.247,0.875,0.104,0.133,134.978,4
spotify:track:3Z5I3tySu3V1dB2Aw3djok,"Girl Boy","Blonde Redhead","Blonde Redhead",1995-01-01,108506,52,11139125490,2024-08-29T18:24:21Z,"shoegaze,dream pop","Numero Group",0.808,0.171,10,-22.412,0,0.0485,0.928,0.713,0.113,0.482,115.704,4
spotify:track:0Ck3kW2KiRLjMOGiKzW3la,"Happy Survival (feat. Khruangbin)","Bando Stone and The New World","Childish Gambino,Khruangbin",2024-07-19,203326,51,11139125490,2024-08-29T18:24:21Z,"","Wolf+Rothstein/RCA Records",0.776,0.661,8,-9.7,0,0.313,0.0207,0.823,0.0962,0.645,153.804,4
spotify:track:5sv3lmlUBl6A8A7W9H3ZEg,"Tavan","Tavan","Evdeki Saat",2024-07-26,223329,39,11139125490,2024-08-29T18:24:21Z,"turkish pop","Clockwork",0.674,0.535,7,-10.017,0,0.0307,0.321,0,0.376,0.845,115.97,4
spotify:track:5N1C1ii0IsKp1Ux3OXUM8C,"Miami","Miami","Apache 207",2024-08-01,184485,67,11139125490,2024-08-29T18:24:21Z,"german hip hop","Four Music/Feder Musik",0.9,0.611,6,-5.949,1,0.127,0.0845,0.000135,0.0753,0.905,111.98,4
spotify:track:78pWGrxySedt38szSq3ZH9,"Ankaralı Sevgilim","Hatırına Sustum","Nazan Öncel",2008-12-22,181853,35,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","AVRUPA MÜZİK YAPIM",0.759,0.45,9,-8.83,0,0.0314,0.675,0.00000328,0.104,0.443,99.979,4
spotify:track:5qQBwbgJ7jvbGVwvMCWYBd,"Beni Düşün","Hayvan","Nazan Öncel",2011-05-27,225985,0,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","Boyalı Kuş",0.595,0.626,7,-5.654,0,0.0331,0.401,0.0000771,0.0885,0.496,75.023,4
spotify:track:6FtZp1i1y1PPuSf7NBP76F,"Ağla Erkeğim Ağla","Bir Hadise Var","Nazan Öncel",1992,204773,38,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","YAŞAR KEKEVA PLAKÇILIK",0.516,0.376,8,-17.097,0,0.0395,0.443,0,0.0346,0.86,171.036,4
spotify:track:0xieAFu86omZyjUsTLAwVW,"Young Free and Single","With Love","Frank Jade",2012-06-01,255026,1,11139125490,2024-08-29T18:24:21Z,"","RED HILL RECORDINGS",0.567,0.64,7,-9.38,1,0.059,0.632,0.00000629,0.199,0.897,95.412,4
spotify:track:5shVvgM3UsbSY48SO4APgL,"Mirage (Single)","Mirage (Single)","Djoon Am",2023-01-02,242166,1,11139125490,2024-08-29T18:24:21Z,"","3162615 Records DK",0.462,0.169,2,-15.165,1,0.0365,0.924,0.724,0.105,0.105,120.222,4
spotify:track:37dj9NRkXaBrvW0i2XKqus,"Seyre Dursun Aşk - Akustik","Beni Durdursan Mı ?","Gülşen",2013-02-22,248476,55,11139125490,2024-08-29T18:24:21Z,"turkish pop,t-pop","DOĞAN MÜZİK YAPIM",0.349,0.769,6,-4.848,0,0.0829,0.357,0,0.172,0.59,119.907,4
spotify:track:43omDvb8iQEkGylhcbPv85,"Tummat silmät, ruskea tukka","Vie minut pois","Paula Koivuniemi",1980,204199,35,11139125490,2024-08-29T18:24:21Z,"iskelmä,finnish pop,finnish rock","WM Finland",0.646,0.548,9,-13.585,0,0.0407,0.754,0,0.125,0.822,119.426,4
spotify:track:3GD8Zc8MByLbeLrLVWBzPz,"Ortak","Ortak","Melike Şahin",2024-08-02,205224,69,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","Gülbaba Records",0.602,0.581,1,-8.417,1,0.0262,0.0412,0.000331,0.288,0.536,105.062,4
spotify:track:0rVJ6v23RQozOIvr1YotJP,"Hell N Back","Hell N Back (Sped Up)","Bakar",2019-08-14,213573,74,11139125490,2024-08-29T18:24:21Z,"","Black Butter",0.633,0.684,10,-4.314,0,0.591,0.314,0.0000895,0.112,0.725,209.688,4
spotify:track:22PKPK4lImgh5YrwBe9wxp,"Yabani","Haberci","Aşkın Nur Yengi",1997-06-06,223840,60,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","EMRE GRAFSON MÜZİK",0.67,0.896,7,-8.462,1,0.0651,0.056,0.00000348,0.313,0.884,114.012,4
spotify:track:1ZLroqJA8qoS5QEeCo0fA7,"Breezeblocks","An Awesome Wave","alt-J",2012-05-28,227080,76,11139125490,2024-08-29T18:24:21Z,"indie,indie rock","Infectious Music",0.611,0.645,5,-7.368,1,0.0378,0.118,0.00115,0.146,0.253,74.99,4
spotify:track:4MkbQPmIGOHMsdl0omYIpj,"So We Won't Forget","So We Won't Forget","Khruangbin",2020-05-18,298333,30,11139125490,2024-08-29T18:24:21Z,"","Dead Oceans",0.646,0.416,2,-13.213,1,0.1,0.0296,0.845,0.183,0.967,101.293,4
spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,"All Out of Love","Lost in Love","Air Supply",1980-02-25,243000,75,11139125490,2024-08-29T18:24:21Z,"soft rock","Arista",0.513,0.262,0,-16.875,1,0.0276,0.313,0.00000551,0.456,0.357,108.383,4
spotify:track:1TyTaZwsTe586k9AsrLR8o,"Bir Anda","Zaman Beklemez","Pinhani",2008-04-18,271952,42,11139125490,2024-08-29T18:24:21Z,"turkish pop,anatolian rock","BEĞENİ MÜZİK YAPIM",0.57,0.585,9,-8.046,0,0.0406,0.724,0.00294,0.0995,0.186,82.079,4
spotify:track:3u5N55tHf7hXATSQrjBh2q,"Freed From Desire - prod. Molella, Phil Jay","Come Into My Life (The Album)","Gala,Molella,Phil Jay",1997-11-17,213394,80,11139125490,2024-08-29T18:24:21Z,"eurodance,italo dance","Do It Yourself",0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,4
spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,79,11139125490,2024-08-29T18:24:21Z,"new wave,madchester,jangle pop","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
spotify:track:0JpxZM0coVzqho0x1QgtbV,"Cecom","XX","Baba Zula,Brenna MacCrimmon",2017-01-27,313946,17,11139125490,2024-08-29T18:24:21Z,"anatolian rock,oyun havasi","Glitterbeat Records",0.683,0.376,0,-13.509,0,0.0438,0.658,0.385,0.101,0.425,120.941,4
spotify:track:661hJMZMJy6tKsbavSUK72,"Alagül","Alagül","Funda Arar",2002-02-20,252958,47,11139125490,2024-08-29T18:24:21Z,"turkish pop,arabesk","MEYPOM",0.565,0.812,5,-6.763,0,0.0377,0.617,0,0.0955,0.596,105.077,4
spotify:track:2cjQDbpaADGQdMqJUtx2TL,"Galiba Hamileyim","Duble Oryantal","Baba Zula,Mad Professor",2005-06-01,97973,7,11139125490,2024-08-29T18:24:21Z,"anatolian rock,dub,reggae,roots reggae","Doublemoon Records",0.65,0.346,6,-13.599,1,0.0661,0.557,0.0273,0.0604,0.472,86.57,4
spotify:track:3WYsnnr1S1QauRxNQrJaa9,"Bu Akşam Ölürüm","Bu Akşam Ölürüm","Murat Kekilli",1999-11-03,320800,48,11139125490,2024-08-29T18:24:21Z,"anatolian rock,arabesk,turkish pop","Boğaziçi Müzik",0.535,0.564,8,-5.324,0,0.0416,0.788,0,0.13,0.424,168.054,3
spotify:track:47YrTUNv8kjuljUchswjf6,"Tomarza","Avara","Murat Kekilli",2004-03-24,235093,46,11139125490,2024-08-29T18:24:21Z,"anatolian rock,arabesk,turkish pop","Boğaziçi Müzik",0.69,0.851,8,-7.812,1,0.0626,0.267,0.000016,0.22,0.902,98.921,4
spotify:track:28SzfgGLTZlA7XNKEVbgHJ,"Ayrılık","Avara","Murat Kekilli",2004-03-24,244826,34,11139125490,2024-08-29T18:24:21Z,"anatolian rock,arabesk,turkish pop","Boğaziçi Müzik",0.593,0.662,11,-6.311,0,0.0344,0.461,0,0.17,0.453,135.854,4
spotify:track:32Ky5QCRtwYJJXuLwoGufj,"Monsoon","Scream","Tokio Hotel",2007-01-01,241426,63,11139125490,2024-08-29T18:24:21Z,"","Island Records",0.58,0.731,3,-5.299,0,0.0293,0.0204,0,0.21,0.164,111.982,4
spotify:track:41YOS7VuxHEEwYHLfa7VWM,"Durch den Monsun - Radio Mix","Schrei (so laut du kannst) [New Version]","Tokio Hotel",2006-01-01,236466,64,11139125490,2024-08-29T18:24:21Z,"","Island Records",0.65,0.623,4,-6.417,0,0.0279,0.02,0,0.176,0.206,111.985,4
spotify:track:17N1qISOsEeAO1WL6zGh1K,"Gönül Dağı","Gönül Dağı","Altin Gün",2024-07-18,248298,31,11139125490,2024-08-29T18:24:21Z,"anatolian rock,psychedelic rock","Glitterbeat Records",0.531,0.458,10,-9.611,0,0.0347,0.208,0.546,0.108,0.314,128.432,4
spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,"Like a Prayer","Celebration (double disc version)","Madonna",2009-09-18,342680,77,11139125490,2024-08-29T18:24:21Z,"","Warner Records",0.625,0.842,5,-5.285,1,0.0376,0.264,0.0000212,0.181,0.26,111.038,4
spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,"505","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,253586,88,11139125490,2024-08-29T18:24:21Z,"indie,garage rock","Domino Recording Co",0.526,0.866,0,-5.822,1,0.0568,0.00287,0.0000778,0.0945,0.248,140.266,4
spotify:track:2SPI1dXVaZvR4qlwbzxdcC,"Cornflake","High Visceral, Pt. 1","Psychedelic Porn Crumpets",2016-03-19,217440,49,11139125490,2024-08-29T18:24:21Z,"psychedelic rock,acid rock,stoner rock","Psychedelic Porn Crumpets",0.3,0.816,10,-6.2,0,0.034,0.0012,0.525,0.219,0.341,170.051,4
spotify:track:6e7LEf6iDAkshuWbpnqcKN,"Hymn For A Droid","And Now For The Whatchamacallit","Psychedelic Porn Crumpets",2019-05-31,207453,53,11139125490,2024-08-29T18:24:21Z,"psychedelic rock,acid rock,stoner rock","Marathon Artists",0.394,0.906,5,-4.611,0,0.0602,0.0000299,0.345,0.318,0.255,140.042,4
spotify:track:26Ow0FAB3MfRPpakmP7mWY,"Port Pass","Derin Derin","Baba Zula",2019-09-27,126776,7,11139125490,2024-08-29T18:24:21Z,"anatolian rock","Glitterbeat Records",0.722,0.465,7,-11.544,1,0.0546,0.165,0.789,0.335,0.44,150.03,3
spotify:track:332ZzYiCY58HS6d2YtiLA9,"Le Furet Dans La Forêt En Feu","Gecekondu","Baba Zula",2011-04-25,294400,8,11139125490,2024-08-29T18:24:21Z,"anatolian rock","Doublemoon Records",0.6,0.664,2,-8.252,0,0.0275,0.082,0.000675,0.116,0.562,132.999,4
spotify:track:4aLIPDzJdvfK43QUYrSDR0,"Tavus Havası","Tabutta Rövaşata (Orijinal Film Müzikleri)","Baba Zula",1996,108160,23,11139125490,2024-08-29T18:24:21Z,"anatolian rock","Doublemoon Records o/b/o Pozitif Müzik Yapım",0.501,0.779,7,-12.562,1,0.262,0.598,0.626,0.362,0.142,178.094,4
spotify:track:3iwH1DfB0Yq2uKhCv7SMxp,"Odessa","Swim","Caribou",2010-04-16,315293,56,11139125490,2024-08-29T18:24:21Z,"idm","City Slang",0.694,0.896,1,-6.099,1,0.0387,0.00369,0.0906,0.344,0.561,118.03,4
spotify:track:6kblAEj0T0312fv5QWsXzo,"Congratulations","Congratulations","MGMT",2010-04-09,235386,61,11139125490,2024-08-29T18:24:21Z,"indie","Columbia",0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,4
